"",,,MONDAY,,
ROOM,7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,MATH 242(A),MATH 303(B),MATH 242(F) COMS 101(B),MATH 343,MATH 121(B)
S104,NURS 364,NURS 365,NURU 262 NURS 435,NURS 441,HNDS 0194
S105,HNDS 0101,HNDS 0111,HNDS 213 HNDS 224,HNDS 492,HNDS 494
S203,PUHE 115,HRIM 123,HNDS 426 PUHE 116,NURU 273,NURU 229
S204,PUHE 253,PUHE 262,HNDS 483 HRIM 231,NURU 262,NURU 191
S207,NURS 117,NURS 118,NURS 133 NURS 152,NURS 152,NURS 117
S302,NURS 283,NURS 284,NURU 275 NURS 261,NURU 241,PHIL 109
S303,MATH 242(B),EPSC 121(A),EDCI 321(A),MATH 203,EDCI 331
S304,EENG 292,EENG 251,EENG 353 EENG 222,EENG 363,EENG 362
S306,BOTA 111(B),CHEM 345,PHYS 315 ZOOL 412,,ZOOL 492
S402,EAPE 421 (A),ZOOL 230/233,MATH 421 CHEM 439,BOTA 415,CHEM 437
S403,MATH 242(C),EPSC 121(C),EDCI 321(B) MATH 121(C),MATH 341(A),BOTA 111(A)
S404,COSC 0170,MATH 143,BIOC 204 MATH 445,GPHY 251,GPHY 224
S408,PHYS 443,MATH 347,ACMT 412,PHYS 314,PHYS 418,EHYS 213
S502,EAPE 421 (B),CHEM 130 (C),CHEM 212(B),CHIN 436,CHIN 346,MATH 444
S503,MATH 242(D),EPSC 121(D),EDCI 321(C),MATH 303(A),LITT 222,MATH 341(B)
S504,ENGL 221,MATH 242(E),CHEM 130 (A),BOTA 121(B),CHEM 212(A),
S508,BIOC 351,BMET 316,CHIN 313,CHEM 405,BMET 336,BIOC 360
S602,BOTA 233,BOTA 121(A),BMET 462,BOTA 251,COSC 0140,BOTA 271
L1,DIBM 0132,DPLM 0222,LAPA 0231,LAPA 0131,LAPA 0204,DIBM 0229
L2,,ECDE 124,ECDE 132,ECDE 337,BIOC 418,MSCF 841
L3,,,,,,
L4,,,,,MPLM 811,COSC 811
FTC 301,RELI 104,BCOM 101,BCOM 302,ECON 111,,
FTC 302,EDCI 344,AGED 332,ENSC 212,ANSC 313,NARE 331,
FTC 303,,MATH 121(D),CDEV 254,,,
FTC 501,COSC 0172,DTHM 0112,AGRI 482,COSC 0130,GPHY 242,
FTC 502,BLIS 404,BRMT 414,CRSS 102,BSIS 457,,
SRP B 01,ECON 222,ZOOL 143(A),HIST 141,COSC 103,ZOOL 143(B),LITT 221
MSH5,CRSS 410,GOVT 151,RELI 103,CRSS 400,SOCI 102,SOCI 342
MSH6,BSIS 103,BSIS 102,CRSS 445,MICB 131,BSIS 131,DIBM 0112
MSH7,BCOM 314,NARE 444,NARE 445,BCHM 212,AFRE 244,ENSC 813
MSH8,BPLM 313,AGRO 271,BCOM 321,ANSC 231,DHRM 0101,MIHM 891
MSH9,BECO 321,DTHM 0111,NARE 331,,MATH 171,MTOM 831
MSH10,ECDE 445,BCHM 232,BCOM 464,ECDE 0121,,ECDE 0143
BSR001,BCOM 103,ECON 100 (A),BCOM 112(A),BCOM 409,COSC 103,ZOOL 143(D)
BSR201,BCHM 472,BECO 251,BCHM 473,BCOM 353,BCHM 332,MSEC 801
BSR202,,PSYC 483,,PSYC 333,BTOM 481,
BSR301,EAPE 421 (C),SOC1 232,ENGL 103(A),HIST 152,KISW 103,RELI 122
BSR302,BMET 110,BMET 111,BMET 232,HIST 204,BMET 231,EDCI 334
BSR303,COSC 102,BEEM 111,ENGL 103(B),COMM 103,ECON 100(C),
BSR401,KISW 203,DPLM 0141,BUST 221,ACSC 111,GEOG 223,RELI 212
BSR402,CPSY 111,COSC 381,SOCI 217,COSC 223,COMM 362,COSC 260
BSR403,EAPE 421 (D),HIST 355,EDCI 201,ENGL 333,COSC 326,SOCI 234
BSR501,HIST 463,BUST 421,RELI 160,BTOM 473,ACSC 374,RELI 470
BSR502,COMM 331,COMM 354,LITT 312,COSC 333,COSC 362,EDCI 335
BSR503,ECON 304,ECON 305,BCOM 112(B),ECON 342,CHEM 130 (B),ZOOL 143(G)
BSL201,BOTA 413,BOTA 436,DIAC 0231,,DPLM 0214,
BSL202,CDEV 429,LITT 435,SOCI 455,BTOM 271,CDEV 443,CDEV 463
BSL203,,BIOC 454,MATH 407,,ECON 101(C),NARE 211
BSL301,LITT 333,MATH 242(G),BCOM 103,,,
BSL302,SOCI 442,BCOP 412,TOHM 0101,SOCI 451,MATH 426,BOIC 334
BSL303,GEOG 346,SOCI 344,HIST 347,RELI 392,KISW 311,LITT 342
BSL401,,BTOM 475,,,AFRE 132,
BSL402,BSIS 211,BSIS 206,PHIL 230,BSIS 230,BPLM 121,PHIL 231
BSL403,,,ENGL 422,,,
BSL501,,MATH 422(B),BECO 371,,,
BSL502,AGED 435,AGED 436,ENSC 331,ANSC 450,NARE 352,AFRE 356
BSL503,ECON 343,EPSC 121(B),ECON 345,ECON 444,ANSC 241,
MS03,WIEM 221,BTOM 351,WIEM 445,NARE 200,WIEM 424,WIEM 423
MS04,COSC 0242,COSC 0231,BECO 381,COSC 0281,SOCI 313,AGEC 232
MS05,COSC 00104,COSC 00106,BCOM 251,COSC 00107,AGBM 102,AGED 0243
MS07,BCOM 357,AGEC 313,AGEC 344,AGEC 455,AGRI 322,ANSC 921
MS08,BCOM 325,BCOM 351,AGBM 312,ANSC 455,ANSC 456,AGED 841
MS09,BCOM 346,AGED 0213,AGED 0232,ANPT 342,HORT 0232,ENSC 340
MS10,BCOM 365,AGRI 291,AGHE 242,ANHE 0236,AGEC 0243,WIEM 223
MS17,ANSC 0113,AGED 00112,ANHE 0227,AGEN 00134,CPLM 00111,HORT 170
MS20,DTHM 0241,DTHM 0272,DTHM 0282,CHTM 00104,DTHM 0262,CHTM 00103
MS21,AGED 241,CHTM 00201,FOST 212,CHTM 00303,SOWK 0214,SOWK 0215
MS23,ENSC 405,FOST 344,MATH 00101,AGRI 0211,CRSS 0231,BCHM 112
MS24,,ZOOL 0223,CHEM 0112,BOTA 252,COMS 0100,CRSS 0236
MS25,SOWK 0121,HORT 434,SOWK 0122,HORT 475,SOWK 0123,CDEV 0209
MS26,SOWK 0223,CDEV 0102,CRSS 0102,SOWK 0221,CRSS 0103,CRSS 0104
MS27,CRSS 0220,CDEV 0205,CRSS 0240,CDEV 0206,DIMA 00113,CDEV 00140
MS30,DJMC 0223,PPMA 0120,DJMC 0227,PPMA 0126,DJMC 0123,PPMA 00122
LLB1,,,BLAW 122,,,BLAW 312
LLB2,,,BLAW 224,,,
LLB3,,,,,,
PAVH,CPLM 00113,DIBM 0113,DIBM 0223,DIAC 0113,DPLM 0229,
"",OMPUTER LABS,,,,,,,,,,,,,,,,,,,,
"",OOM,,,,.00 AM→9.00 AM,,,9.00 AM→11.00AM,,,1.00 AM→1.00 PM,,,.00 PM→3.00 PM,,,.00PM→5.00PM,,,.00PM→7.00PM,
"",LAB1,,,,,,,,,,,,,,,,,,,,
"",LAB2,,,,,,,,,,,,,,,,,,,,
"",LAB3,,,,,,,,,,,,,,,,,,,,
"",LAB4,,,,,,,,,,,,,,,,,,,,
"",,
SCIENCE LAB (SLAB1 – PHYS) (SLAB2 – BOTANY) (SLAB3 – ZOOLOGY),,
"",,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SLAB1,PHYS 122,
SLAB2,,
SLAB3,,
S108,,
"",,
PAVILION (PLAB – HOSPITALITY),,
"",,
PLAB HNDS 231 HNDS 231 HNDS 231 HNDS 231,HNDS 231,
"",,
MEDIA SCHOOL COMPLEX (MS33 – PLANT SCIENCE LAB) (MS34 – FOOD SCIENCE LAB),,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
"MS33 AGEN 131 HORT 361, SOIL 0100 HORT 434",AGRI 0211,AGRI 482
MS34,,
RADIO,,
STATION,,
"",,
SECONDARY (LAB1 - CHEMISTRY LAB),,
"",,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
LAB1,,
"",,
RESEARCH PARK,,
"",,
"RPLAB1.CHEM LAB, RPLAB2. ANIMAL SCIENCE, RPLAB3. PHYSICAL LAB, RPLAB4.BIOCHEM/BIOMED LAB, RPLAB5. BIOTECH LAB, RPLAB 6. MICROBIO",,
"LAB, RPLAB7. ZOOLOGY LAB, RPLAB8. NURSING LAB",,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
RPLAB1,,
RPLAB2 ANSC 265 ANSC 0268 ANHE 216,,
RPLAB3,,
RPLAB4,,
RPLAB5,,
RPLAB6,,
RPLAB7,,
RPLAB8,,
"",,,TUESDAY,,
ROOM,7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,MATH 201(A),MATH 304(A),MATH 201(B),MATH 304(B),CHEM 120 (A),PHYS 134(A)
S104,NURS 443,NURS 446,NURS 447,NURS 393,NURS 449,HNDS 442
S105,HNDS 266(A),HNDS 266(B),HNDS 425,HNDS 221,HNDS 0121,HNDS 0101
S203,HRIM 361,HRIM 362,HNDS 212,PUHE 482,PUHE 483,PUHE 483
S204,PUHE 324,NURS 335,CHEM 103,PUHE 348,HNDS 123,
S207,NURS 172,NURS 133,NURU 227,HRIM 476,HRIM 112,HRIM 112
S302,NURS 225,NURS 253,NURU 262,NURS 254,NURU 264,PUHE 342
S303,MATH 201(D),EPSC 221(A),EDFO 423(A),EPSC 331(A),PHYS 134(B),MATH 242(G)
S304,EENG 481,EENG 474,EENG 567,EENG 464,EENG 541,EENG 521
S306,PHYS 394,CHEM 120 (B),CHIN 433,ZOOL 00143,EDCI 338,MATH 206
S402,MATH 201(G),BOTA 222,FNMT 101,BOTA 223,BOTA /AGRI 234,ZOOL 0143
S403,MATH 201(C),EPSC 221(B),CHEM 130(A),EPSC 331(B),MATH 422(B),CHAL 101
S404,MATH 171,BIOC 220,MATH 406,MATH 421,CHIN 323,PHYS 478
S408,BIOC 417,FNMT 301,BIOC 351,BIOC 425,ACMT 403,MTOM 851
S502,CHEM 313(A),MATH 422(A),ZOOL 100/104 (A),BOTA 391,ZOOL 100/104(B),MATH 456
S503,MATH 201(E),CHEM 313(B),EDFO 423(C),EPSC 331(C),CHEM 416,CHEM 419
S504,MATH 201(F),BOTA 121(C),MATH 305,COSC 103,ZOOL 143(C),PHIL 100
S508,CHIN 101,BIOC 335,PHYS 373,PHYS 382,BIOC 315,BIOC 314
S602,CHIN 428,ZOOL 220,BOTA 361(A),ZOOL 231,BOTA 361(A),ZOOL 331
L1,DIBM 0101,DIBM 0214,LAPA 0132,BMET 335,DIAC 0223,DIBM 0102
L2,BCOM 112(C),ECDE 133,ECDE 243,ECDE 143,MSAC 811,MSCF 811
L3,,,,,,
L4,,,,,,COSC 821
FTC 301,MATH 345,CHIN 432,CHEM 103,PHYS 151(B),,
FTC 302,ENSC 452,NARE 111,ENSC 456,BCHM 121,,
FTC 303,MATH 121(C),MATH 242(F),MATH 445,,MATH 242(B),
FTC 501,PHIL 101,PHYS 00141,GPHY 215,BPLM 421,GPHY 261,
FTC 502,SOCI 211,SOCI 337,PHIL 109,AGEC 242,AGBM 231,
SRP B 01,BCOP 111,MATH 390,COSC 103,BCOM 221,ZOOL 143(E),BCOM 263
MSH5,,BIOC 205,BMET 350,BIOC 221,ECON 332,BMET 361
MSH6,CRSS 426,ECON 233,ECDE 0142,SOCI 232,CRSS 425,CRSS 424
MSH7,CRSS 210,CRSS 241,PSYC 123,CRSS 220,PSYC 122,FOND 121
MSH8,CRSS 372,CRSS 331,ANHE 216,CRSS 332,BCOM 415,ANSC 221
MSH9,BPLM 223,BCOM 316,NARE 457,BCOM 366,BCOM 445,NARE 461
MSH10,NARE 325,NARE 341,BCHM 222,BCOM 212,BPLM 314,RELI 161
BSR001,COSC 221(A),BCOM 405,BCOM 464,COSC 221(B),ZOOL 143(H),PHIL 106
BSR201,CDEV 00130,SOIL 100,SOIL 0320,BCHM 474,BCHM 475,MSEC 831
BSR202,PSYC 431,PSYC 442,PSYC 334,PSYC 463,PSYC 335,PSYC 336
BSR 301,LITT 103,GEOG 120,COSC 107,FREN 120,AGEN 131,COMM 361
BSR302,BSIS 307,BSIS 308,SOCI 231,BSIS 313,CRSS 438,EDCI 333
BSR303,COSC 483,COSC 484,CDEV 00131,COSC 436,BPLM 415,PHYS 335
BSR401,HIST 254,BEEM 405,BTOM 474,RELI 231,COSC 226,ECON 350
BSR402,ACMT 111,SOCI 312,SOCI 333,COSC 371,COSC 327,BTOM 361
BSR403,BUST 321,RELI 373,ACSC 224,ACSC 226,KISW 310,AGEN 341
BSR501,BOTA 342,LITT 425,ENGL 483,KISW 405,SOCI 410,LITT 326
BSR502,COMM 242,LITT 417,ENSC 332,COMM 231,COMM 332,ENSC 362
BSR503,ENG 212,RELI 221,BPLM 171,ACSC 462,BCOP 121,ACSC 484
BSL201,GEOG 344,KISW 414,SOCI 422,KISW 411,SOCI 445,KISW 417
BSL202,SOCI 449,HIST 344,SOCI 437,SOCI 448,LITT 211,HIST 333
BSL203,SOCI 315,BCOM 338,GEOG 326,SOCI 318,MATH 222,BTOM 453
BSL301,AGED 213,RELI 476,AGED 222,EDFO 423(B),ZOOL 240,
BSL302,CDEV 120,PHIL 360,CDEV 121,PHIL 361,CDEV 141,BTOM 322
BSL303,ENGL 372,BCOM 335,ZOOL 337,ECDE 433,PHYS 113,
BSL401,BMET 231,CHEM 130 (C),PHYS 153,MATH 141(F),CHEM 130 (B),
BSL402,CDEV 324,CDEV 305,BCHM 131,CDEV 316,GEOG 211,
BSL403,MATH 442(B),ECDE 236,RELI 362,BTOM 452,PHYS 151(A),
BSL501,BCOM 333,MATH 442(A),BCOP 311,RELI 402,BTOM 152,
BSL502,BTOM 151,BTOM 291,BPLM 115,BCOM 437,COMM 474,BCHM 121
BSL503,ECON 447,ECON 408,AGEC 331,ECON 448,MATH 326,ECON 415
MS03,WIEM 102,NARE 213,WIEM 121,WIEM 343,WIEM 224,WIEM 344
MS04,COSC 0282,COSC 0243,AGEC 415,COSC 0244,PHIL 105,AGEC 434
MS05,COSC 00101,COSC 00102,FOST 222,COSC 00103,BCOM 341,AGEX 841
MS07,AGBM 372,ANSC 342,COSC 0170,BCOM 425,COSC 0171,ANSC 935
MS08,AGRI 0251,ANSC 0233,BEEM 112,BCOM 455,BEEM 113,FOST 231
MS09,ANSC 463,ANSC 464,FOST 346,BCOM 466,AGEC 343,AGED 314
MS10,AGED 0232,ANHE 216,ANHE 0233,ANHE 0251,ANHE 0260,ANGB 850
MS17,BECO 241,WIEM 242/244,ANHE 0122,NARE 214,ANHE 0123,CDEV 0261
MS20,ICEN 206,BECO 391,DTHM 0141,BECO 331,DIBM 0112,ENSC 0100
MS21,DTHM 0273,CHTM 00305,DTHM 0261,CHTM 00304,HORT 231,CRSS 0230
MS23,FOST 324,FOST 414,FOST 336,FOST 483,HORT 325,FOST 437
MS24,AGEN 131,AGRI 0232,AGRI 411,HORT 0261,AGRI 495,CRSS 00105
MS25,SOWK 0211,COSC 00102,SOWK 0213,CDEV 00150,CDEV 0210,CDEV 0211
MS26,CPSY 00111,DJMC 0224,HIST 0334,CDEV 00150,EPSY 00121,CRSS 00108
MS27,LAPA 0206,PPMA 0121,CRSS 00112,PPMA 0125,DJMC 0122,DIBM 0216
MS30,DHRM 0116,DIBM 0101,DIBM 0115,DIBM 0251,NARE 841,ENSC 813
LLB1,BLAW 123,BLAW 123,BLAW 122,,,
LLB2,,,BLAW 223,,,BLAW 316
LLB3,,,,,,
PAVH,DPLM 0113,DPLM 0222,DPLM 0114,DPLM 0218,CPLM 00114,ZOOL 0141
COMPUTER LABS,,,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,,3.00PM→5.00PM,5.00PM→7.00PM
CLAB1,,,,,
CLAB2,,,,,
CLAB3,,,,,
CLAB4,,,,,
"",,,,,
SCIENCE LAB (SLAB1 – PHYS) (SLAB2 – BOTANY) (SLAB3 – ZOOLOGY),,,,,
"",,,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,,3.00PM→5.00PM,5.00PM→7.00PM
SLAB1,,,,,
SLAB2,,,,,
SLAB3,,,,,
S108,,,,,
"",,,,,
PAVILION (PLAB – HOSPITALITY),,,,,
"",,,,,
PLAB DTHM 0143 DTHM 0143,DTHM 0143,DTHM 0143,,DTHM 0143,
CHTM 00305 CHTM 00305,CHTM 00305,CHTM 00305,,CHTM 00305,
MEDIA SCHOOL COMPLEX (MS33 – PLANT SCIENCE LAB) (MS34 – FOOD SCIENCE LAB),,,,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM,11.00 AM→1.00 PM,1.00 PM→3.00 PM,,3.00PM→5.00PM,5.00PM→7.00PM
"MS33 SOIL 213/212 HORT 341, BOTA 252","HORT 463, SOIL 0232","HORT 231, AGRI 411",,"AGRI 0251, HORT 170",AGRI 383
MS34,,,
RADIO,,,
STATION,,,
"",,,
SECONDARY (LAB1 - CHEMISTRY LAB),,,
"",,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
LAB1,,,
"",,,
RESEARCH PARK,,,
"",,,
"RPLAB1.CHEM LAB, RPLAB2. ANIMAL SCIENCE, RPLAB3. PHYSICAL LAB, RPLAB4.BIOCHEM/BIOMED LAB, RPLAB5. BIOTECH LAB, RPLAB 6. MICROBIO",,,
"LAB, RPLAB7. ZOOLOGY LAB, RPLAB8. NURSING LAB",,,
ROOM 7.00 AM→9.00 AM 9.00 AM→11.00AM 11.00 AM→1.00 PM,1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
RPLAB1,,,
RPLAB2 ANHE 0122,ANHE 0227,ANHE 00121,
RPLAB3,,,
RPLAB4,,,
RPLAB5,,,
RPLAB6,,,
RPLAB7,,,
RPLAB8,,,
"",,,WEDNESDAY,,
ROOM,7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,MATH 323(B),CHEM 221(A),MATH 323(A) CHIN 433,MATH 141(A),CHEM 221(B)
S104,NURS 447,NURS 448,NURU 293 NURS 442,HRIM 171,HRIM 171
S105,HNDS 225,HNDS 0122,HNDS 242 HNDS 362,PUHE 344,PUHE 344
S203,PUHE 346,PUHE 357,PUHE 357 HRIM 463,HRIM 459,HNDS 151
S204,PUHE 241,PUHE 263,NURU 277 PUHE 118,PUHE 122,PUHE 122
S207,NURS 192,NURS 181,NURU 111 NURS 182,COSC 103,NURS 133
S302,NURS 273,NURS 221,NURU 228 NURS 222,NURU 229,NURU 276
S303,EAPE 422(A),EDFO 112(A),EDCI 312(A) EPSC 222(A),MATH 141(B),MATH 141(C)
S304,EENG 445,EENG 568,EENG 543,EENG 482,EENG 241,EENG 272
S306,EAPE 422(B),BOTA 111(A),EDFO 112(B),BMET 232,PHYS 342,ZOOL 413
S402,CHIN 346,ZOOL 341,CHEM 315,PHYS 485,MATH 404,EDCI 343
S403,EAPE 422(C),EDFO 112(C),EDCI 312(B),MATH 121(A),MATH 141(D),
S404,,BMET 335,ECDE 415,GPHY 113,,
S408,CHIN 452,ACTM 211,ACMT 302,ZOOL 303,CHIN 414,FNMT 412
S502,CHEM 325(B),CHEM 313(A),EDFO 112(D),PHYS 476,CHEM 334,MATH 303(A)
S503,MATH 447(A),MATH 447(B),EDCI 312(C),MATH 303(B),MATH 141(E),CHEM 361
S504,CHEM 241,CHIN 326,ENGL 221,CHIN 325,MATH 141(G),MATH 242(E)
S508,PHYS 335,CHIN 221,PHYS 393,ZOOL 443,MICB/BOTA 0131,EDCI 345
S602,MATH 223,BOTA 405,MATH 448,BOTA 482,BOTA 437,ZOOL 314
L1,DIBM 0121,ECDE 244,BIOL 00100,COSC 0283,LAPA 0272,DIBM 0111
L2,ZOOL 313,ECDE 343,ECDE 239,ECDE 336,ECDE 237,MSCF 831
L3,,,,,,
L4,,,,,MBAD 861,COSC 831
FTC 301,COSC 0120,BCOM 111,COSC 0150,BCOM 161,,
FTC 302,ENSC 444,ENSC 224,ENSC 457,ENSC 225,,
FTC 303,MATH 345,MATH 206,MATH 141(F),,,
FTC 501,FOST 131,AGRI 0234,AGRI 482,HORT 0242,,
FTC 502,SOCI 134,SOCI 105,HORT 333,SOCI 131,AGED 342,
SRP B 01,ENGL 212,ECON 121(D),LITT 221,,PHYS 352,COSC 103
MSH5,BMET 337,BCOM 315,BIOC 241,BMET 340,BIOC 230,BIOC 222
MSH6,BSIS 140,BSIS 120,CHTM 00105,INRE 142,GOVT 142,CRSS 333
MSH7,CRSS 455,CRSS 439,CRSS 204,CRSS 438,CRSS 203,CRSS 230
MSH8,CRSS 210,CRSS 241,BCOM 313,CRSS 220,BEEM 325,BEEM 334
MSH9,BEEM 410,BCOM 403,BPLM 312,BPLM 102,BPLM 112,AGBM 431
MSH10,BCOP 471,CPLM 00141,BCOP 432,CIBM 00142,MTOM 821,MTOM 836
BSR001,ENGL 422,COSC 100,COSC 120,EPSC 222(B),BCOM 355,GEOG 146
BSR201,BCHM 353,SOIL 100,SOIL 0100,CRSS 0120,CRSS 0111,MSEC 821
BSR202,BTOM 453,PSYC 484,BCOM 336,BTOM 474,MIHM 881,PSYC  485
BSR301,KISW 104,ENGL 435,COMM 106,BUST 121,HIST 131,ENGL 104(A)
BSR302,COSC 465,PHIL 316,COSC 452,PHIL 315,HRIM 273,EDCI 337
BSR303,ACSC 478,COSC 325,ACSC 479,GEOG 322,AFRE 132,ENGL 104(B)
BSR401,HORT 361,AGEC 241,GEOG 224,MATH 242(D),HIST 241,BUST 222
BSR402,SOCI 213,AGBM 211,ACSC 272,COSC 270,ACSC 225,EDCI 336
BSR403,BUST 422,HIST 448,HIST 456,RELI 474,BPLM 422,BPLM 451
BSR501,GEOG  211,BCHM 391,KISW 204,LITT 437,RELI 205,ZOOL 143(F)
BSR502,COMM 372,BPLM 215,COMM 353,COMM 363,PSYC 411,COMM 474
BSR503,SOCI 352,HIST 314,BPLM 325,HIST 351,BCOM 361,CDEV 0262
BSL201,SOCI 418,HIST 436,ECON 344,ECON 323,SOCI 446,ECON 337
BSL202,CDEV 122,BCOM 103,BSIS 480,SOCI 235,BLIS 406,BSIS 458
